geneID,num_ERP,num_ERP_flag_analyzable,num_ERP_unbiased,num_ERP_F_limited,num_ERP_M_limited,num_ERP_F_bias,num_ERP_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0000008,32,5.0,5,0,0,0,0,1,1,393.0,480.0,1
FBgn0000014,1,0.0,0,0,0,0,0,1,0,1.0,0.0,0
FBgn0000015,3,0.0,0,0,0,0,0,1,1,9.0,3.0,1
FBgn0000017,46,6.0,6,0,0,0,0,1,1,1335.0,1871.0,1
FBgn0000018,2,2.0,1,0,0,1,0,1,1,318.0,266.0,1
FBgn0000024,81,17.0,14,0,0,0,3,1,1,2405.0,4750.0,1
FBgn0000028,37,3.0,3,0,0,0,0,1,1,792.0,813.0,1
FBgn0000032,17,5.0,5,0,0,0,0,1,1,401.0,458.0,1
FBgn0000036,36,4.0,2,0,0,0,2,1,1,1540.0,2709.0,1
FBgn0000037,14,2.0,2,0,0,0,0,1,1,646.0,795.0,1
FBgn0000038,54,10.0,8,0,0,0,2,1,1,5114.0,7616.0,1
FBgn0000039,29,7.0,6,0,0,1,0,1,1,691.0,958.0,1
FBgn0000042,8,4.0,3,0,0,0,1,1,1,43297.0,49399.0,1
FBgn0000043,5,2.0,2,0,0,0,0,1,1,765.0,817.0,1
FBgn0000044,5,3.0,2,0,0,1,0,1,1,11638.0,11994.0,1
FBgn0000045,7,3.0,3,0,0,0,0,1,1,797.0,1225.0,1
FBgn0000046,5,2.0,2,0,0,0,0,1,1,4655.0,6156.0,1
FBgn0000047,6,3.0,3,0,0,0,0,1,1,155.0,165.0,1
FBgn0000052,11,4.0,4,0,0,0,0,1,1,5202.0,4612.0,1
FBgn0000053,48,14.0,14,0,0,0,0,1,1,10645.0,11888.0,1
FBgn0000055,62,27.0,16,0,0,11,0,1,1,1066854.0,857627.0,1
FBgn0000057,5,2.0,1,0,0,0,1,1,1,675.0,916.0,1
FBgn0000061,4,0.0,0,0,0,0,0,1,1,9.0,19.0,1
FBgn0000063,7,3.0,3,0,0,0,0,1,1,309.0,287.0,1
FBgn0000064,78,27.0,19,0,0,8,0,1,1,85452.0,91627.0,1
FBgn0000071,2,0.0,0,0,0,0,0,1,1,14.0,32.0,1
FBgn0000075,7,3.0,3,0,0,0,0,1,1,180.0,291.0,1
FBgn0000077,2,1.0,1,0,0,0,0,1,1,645.0,781.0,1
FBgn0000078,8,3.0,3,0,0,0,0,1,1,2188.0,3289.0,1
FBgn0000079,2,2.0,2,0,0,0,0,1,1,15710.0,23874.0,1
FBgn0000083,65,19.0,19,0,0,0,0,1,1,5318.0,5804.0,1
FBgn0000084,16,6.0,5,0,0,1,0,1,1,7034.0,6817.0,1
FBgn0000092,10,4.0,4,0,0,0,0,1,1,123.0,127.0,1
FBgn0000094,1,0.0,0,0,0,0,0,1,0,1.0,0.0,0
FBgn0000097,22,4.0,4,0,0,0,0,1,1,4010.0,4593.0,1
FBgn0000100,10,6.0,3,0,0,3,0,1,1,105838.0,69281.0,1
FBgn0000108,128,15.0,14,0,0,0,1,1,1,11463.0,18351.0,1
FBgn0000109,7,2.0,1,0,0,1,0,1,1,1538.0,1018.0,1
FBgn0000114,158,17.0,16,0,0,0,1,1,1,2499.0,2822.0,1
FBgn0000115,6,2.0,1,0,0,1,0,1,1,2581.0,2065.0,1
FBgn0000116,38,17.0,13,0,0,0,4,1,1,65470.0,84968.0,1
FBgn0000117,51,12.0,11,0,0,1,0,1,1,3058.0,3578.0,1
FBgn0000119,19,3.0,3,0,0,0,0,1,1,367.0,349.0,1
FBgn0000120,26,14.0,13,0,0,0,1,1,1,617755.0,771806.0,1
FBgn0000121,14,9.0,8,0,0,0,1,1,1,455014.0,634364.0,1
FBgn0000137,1,0.0,0,0,0,0,0,1,1,4.0,2.0,0
FBgn0000139,33,8.0,7,0,0,1,0,1,1,1960.0,1531.0,1
FBgn0000140,3,0.0,0,0,0,0,0,1,1,6.0,1.0,0
FBgn0000146,7,0.0,0,0,0,0,0,1,1,14.0,36.0,1
FBgn0000147,5,3.0,1,0,0,1,1,1,1,108.0,148.0,1
FBgn0000150,11,5.0,2,0,0,3,0,1,1,137564.0,103958.0,1
FBgn0000152,30,4.0,3,0,0,1,0,1,1,448.0,492.0,1
FBgn0000153,11,4.0,3,0,0,0,1,1,1,644.0,1053.0,1
FBgn0000157,21,4.0,4,0,0,0,0,1,1,248.0,347.0,1
FBgn0000158,2,0.0,0,0,0,0,0,1,1,2.0,4.0,0
FBgn0000163,41,6.0,5,0,0,0,1,1,1,1230.0,1524.0,1
FBgn0000173,13,6.0,6,0,0,0,0,1,1,14346.0,14259.0,1
FBgn0000179,24,5.0,3,0,0,0,2,1,1,905.0,1581.0,1
FBgn0000180,13,2.0,2,0,0,0,0,1,1,207.0,186.0,1
FBgn0000181,5,3.0,2,0,0,1,0,1,1,31463.0,26072.0,1
FBgn0000182,1,0.0,0,0,0,0,0,0,1,0.0,2.0,0
FBgn0000183,34,8.0,7,0,0,0,1,1,1,1309.0,1780.0,1
FBgn0000206,25,7.0,7,0,0,0,0,1,1,3017.0,3922.0,1
FBgn0000212,22,4.0,3,0,0,0,1,1,1,903.0,1181.0,1
FBgn0000221,2,1.0,1,0,0,0,0,1,1,646.0,845.0,1
FBgn0000228,33,9.0,8,0,0,0,1,1,1,923.0,1284.0,1
FBgn0000229,43,12.0,12,0,0,0,0,1,1,6850.0,7568.0,1
FBgn0000233,4,1.0,0,0,0,0,0,1,1,9.0,18.0,1
FBgn0000239,39,9.0,9,0,0,0,0,1,1,2048.0,1681.0,1
FBgn0000241,20,6.0,5,0,0,1,0,1,1,776.0,824.0,1
FBgn0000244,6,2.0,1,0,0,1,0,1,1,3264.0,3322.0,1
FBgn0000246,20,2.0,2,0,0,0,0,1,1,85.0,87.0,1
FBgn0000247,63,4.0,4,0,0,0,0,1,1,693.0,868.0,1
FBgn0000250,63,19.0,18,0,0,0,1,1,1,3555.0,4108.0,1
FBgn0000253,50,22.0,21,0,0,0,1,1,1,143915.0,168619.0,1
FBgn0000256,27,4.0,3,0,0,0,1,1,1,589.0,1082.0,1
FBgn0000257,5,2.0,1,0,0,0,1,1,1,348.0,614.0,1
FBgn0000259,116,19.0,18,0,0,1,0,1,1,3391.0,3832.0,1
FBgn0000261,9,4.0,4,0,0,0,0,1,1,22226.0,26981.0,1
FBgn0000273,9,5.0,4,0,0,0,1,1,1,4417.0,6214.0,1
FBgn0000276,2,0.0,0,0,0,0,0,1,1,45.0,8.0,1
FBgn0000277,3,1.0,1,0,0,0,0,1,1,281.0,39.0,1
FBgn0000278,2,0.0,0,0,0,0,0,1,1,38.0,6.0,1
FBgn0000279,3,1.0,0,0,0,0,0,1,1,173.0,50.0,1
FBgn0000281,2,0.0,0,0,0,0,0,1,1,3.0,1.0,0
FBgn0000283,18,6.0,6,0,0,0,0,1,1,749.0,999.0,1
FBgn0000286,26,2.0,2,0,0,0,0,1,1,1003.0,1180.0,1
FBgn0000287,18,3.0,3,0,0,0,0,1,1,464.0,634.0,1
FBgn0000289,114,19.0,17,0,0,0,2,1,1,2475.0,3116.0,1
FBgn0000299,27,3.0,2,0,0,1,0,1,1,2002.0,1545.0,1
FBgn0000303,42,9.0,7,0,0,0,2,1,1,1391.0,2161.0,1
FBgn0000307,17,7.0,7,0,0,0,0,1,1,1512.0,1967.0,1
FBgn0000308,34,15.0,13,0,0,1,1,1,1,20701.0,22997.0,1
FBgn0000316,39,5.0,4,0,0,1,0,1,1,1585.0,1197.0,1
FBgn0000317,26,7.0,7,0,0,0,0,1,1,422.0,525.0,1
FBgn0000318,13,4.0,4,0,0,0,0,1,1,6124.0,6234.0,1
FBgn0000319,36,6.0,5,0,0,1,0,1,1,4735.0,4541.0,1
FBgn0000320,19,4.0,4,0,0,0,0,1,1,449.0,514.0,1
FBgn0000326,8,2.0,2,0,0,0,0,1,1,954.0,908.0,1
FBgn0000330,19,6.0,6,0,0,0,0,1,1,1200.0,1146.0,1
FBgn0000337,6,0.0,0,0,0,0,0,1,1,8.0,22.0,1
FBgn0000339,21,3.0,3,0,0,0,0,1,1,4115.0,4812.0,1
FBgn0000346,37,5.0,4,0,0,0,1,1,1,4451.0,7376.0,1
FBgn0000351,7,2.0,2,0,0,0,0,1,1,80.0,102.0,1
FBgn0000352,7,2.0,2,0,0,0,0,1,1,423.0,612.0,1
FBgn0000357,3,0.0,0,0,0,0,0,1,1,2.0,15.0,1
FBgn0000358,2,0.0,0,0,0,0,0,1,1,17.0,33.0,1
FBgn0000360,2,0.0,0,0,0,0,0,1,1,1.0,6.0,0
FBgn0000370,41,16.0,14,0,0,2,0,1,1,18011.0,17999.0,1
FBgn0000376,12,3.0,3,0,0,0,0,1,1,166.0,201.0,1
FBgn0000377,6,2.0,2,0,0,0,0,1,1,991.0,1077.0,1
FBgn0000382,96,12.0,12,0,0,0,0,1,1,4534.0,5520.0,1
FBgn0000384,26,4.0,4,0,0,0,0,1,1,1209.0,1415.0,1
FBgn0000392,19,2.0,2,0,0,0,0,1,1,1491.0,1543.0,1
FBgn0000394,23,7.0,6,0,0,1,0,1,1,3393.0,3257.0,1
FBgn0000395,10,2.0,2,0,0,0,0,1,1,234.0,257.0,1
FBgn0000404,5,0.0,0,0,0,0,0,1,1,10.0,21.0,1
FBgn0000405,5,1.0,0,0,0,0,0,1,1,24.0,22.0,1
FBgn0000406,13,8.0,6,0,0,2,0,1,1,103987.0,75079.0,1
FBgn0000411,1,1.0,1,0,0,0,0,1,1,319.0,452.0,1
FBgn0000412,14,3.0,3,0,0,0,0,1,1,2596.0,3361.0,1
FBgn0000414,61,8.0,8,0,0,0,0,1,1,937.0,1055.0,1
