geneID,num_UJC,num_UJC_flag_analyzable,num_UJC_unbiased,num_UJC_F_limited,num_UJC_M_limited,num_UJC_F_bias,num_UJC_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0000008,151,5,5,0,0,0,0,1,1,393,480,1
FBgn0000014,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0000015,4,0,0,0,0,0,0,1,1,9,3,1
FBgn0000017,193,6,6,0,0,0,0,1,1,1335,1871,1
FBgn0000018,12,2,1,0,0,1,0,1,1,318,266,1
FBgn0000024,339,15,12,0,0,0,3,1,1,2405,4750,1
FBgn0000028,71,3,3,0,0,0,0,1,1,792,813,1
FBgn0000032,56,5,4,0,0,1,0,1,1,401,458,1
FBgn0000036,93,3,1,0,0,0,2,1,1,1540,2709,1
FBgn0000037,43,3,3,0,0,0,0,1,1,646,795,1
FBgn0000038,459,12,11,0,0,0,1,1,1,5114,7616,1
FBgn0000039,146,7,5,0,0,1,1,1,1,691,958,1
FBgn0000042,713,4,4,0,0,0,0,1,1,43297,49399,1
FBgn0000043,19,2,2,0,0,0,0,1,1,765,817,1
FBgn0000044,188,3,2,0,0,1,0,1,1,11638,11994,1
FBgn0000045,50,3,3,0,0,0,0,1,1,797,1225,1
FBgn0000046,173,5,5,0,0,0,0,1,1,4655,6156,1
FBgn0000047,15,3,3,0,0,0,0,1,1,155,165,1
FBgn0000052,125,3,2,0,0,1,0,1,1,5202,4612,1
FBgn0000053,479,11,11,0,0,0,0,1,1,10645,11888,1
FBgn0000055,12703,248,192,0,0,55,1,1,1,1066854,857627,1
FBgn0000057,34,2,1,0,0,0,1,1,1,675,916,1
FBgn0000061,9,0,0,0,0,0,0,1,1,9,19,1
FBgn0000063,52,4,4,0,0,0,0,1,1,309,287,1
FBgn0000064,3006,47,36,0,0,9,2,1,1,85452,91627,1
FBgn0000071,3,0,0,0,0,0,0,1,1,14,32,1
FBgn0000075,16,3,3,0,0,0,0,1,1,180,291,1
FBgn0000077,23,1,1,0,0,0,0,1,1,645,781,1
FBgn0000078,155,1,1,0,0,0,0,1,1,2188,3289,1
FBgn0000079,440,1,1,0,0,0,0,1,1,15710,23874,1
FBgn0000083,309,15,15,0,0,0,0,1,1,5318,5804,1
FBgn0000084,354,17,14,0,0,2,1,1,1,7034,6817,1
FBgn0000092,41,2,2,0,0,0,0,1,1,123,127,1
FBgn0000094,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0000097,107,8,8,0,0,0,0,1,1,4010,4593,1
FBgn0000100,1299,26,12,0,0,14,0,1,1,105838,69281,1
FBgn0000108,876,9,8,0,0,0,1,1,1,11463,18351,1
FBgn0000109,56,4,2,0,0,2,0,1,1,1538,1018,1
FBgn0000114,415,17,15,0,0,0,2,1,1,2499,2822,1
FBgn0000115,110,4,2,0,0,2,0,1,1,2581,2065,1
FBgn0000116,1710,28,23,0,0,1,4,1,1,65470,84968,1
FBgn0000117,228,12,11,0,0,1,0,1,1,3058,3578,1
FBgn0000119,51,3,3,0,0,0,0,1,1,367,349,1
FBgn0000120,3641,106,97,0,0,0,9,1,1,617755,771806,1
