geneID,sex_bias
FBgn0267339,female_bias_or_limit
FBgn0036494,male_bias_or_limit
FBgn0051354,female_bias_or_limit
FBgn0001259,male_bias_or_limit
FBgn0262623,male_bias_or_limit
FBgn0267030,male_bias_or_limit
FBgn0267815,male_bias_or_limit
FBgn0267207,female_bias_or_limit
FBgn0031654,male_bias_or_limit
FBgn0267234,male_bias_or_limit
FBgn0034103,male_bias_or_limit
FBgn0032916,male_bias_or_limit
FBgn0035176,male_bias_or_limit
FBgn0264883,male_bias_or_limit
FBgn0033081,male_bias_or_limit
FBgn0010038,male_bias_or_limit
FBgn0004429,male_bias_or_limit
FBgn0010357,male_bias_or_limit
FBgn0267276,male_bias_or_limit
