sampleID,numERP
mel_F_rep1_TR1,18418
mel_F_rep1_TR2,53582
mel_F_rep1_TR3,52825
mel_F_rep1_TR4,32287
mel_F_rep2_TR1,17412
mel_F_rep2_TR2,56933
mel_F_rep2_TR3,52023
mel_F_rep2_TR4,38838
mel_F_rep3_TR1,14627
mel_F_rep3_TR2,48416
mel_F_rep3_TR3,56578
mel_F_rep3_TR4,39767
mel_F_rep4_TR1,23426
mel_F_rep4_TR2,72896
mel_F_rep4_TR3,76022
mel_F_rep4_TR4,70952
mel_F_rep4_TR5,69304
mel_F_rep5_TR1,20808
mel_F_rep5_TR2,77614
mel_F_rep5_TR3,82307
mel_F_rep5_TR4,72698
mel_F_rep5_TR5,67709
mel_F_rep6_TR1,19502
mel_F_rep6_TR2,64464
mel_F_rep6_TR3,66380
mel_F_rep6_TR4,62041
mel_F_rep6_TR5,60049
mel_M_rep1_TR1,15173
mel_M_rep1_TR2,37844
mel_M_rep1_TR3,40671
mel_M_rep1_TR4,34878
mel_M_rep2_TR1,18448
mel_M_rep2_TR2,68267
mel_M_rep2_TR3,74472
mel_M_rep2_TR4,52636
mel_M_rep3_TR1,14605
mel_M_rep3_TR2,34347
mel_M_rep3_TR3,39112
mel_M_rep3_TR4,31507
mel_M_rep4_TR1,24234
mel_M_rep4_TR2,73253
mel_M_rep4_TR3,81979
mel_M_rep4_TR4,76033
mel_M_rep4_TR5,72208
mel_M_rep5_TR1,24700
mel_M_rep5_TR2,61278
mel_M_rep5_TR3,70860
mel_M_rep5_TR4,65996
mel_M_rep5_TR5,56464
mel_M_rep6_TR1,23901
mel_M_rep6_TR2,83351
mel_M_rep6_TR3,85512
mel_M_rep6_TR4,81689
mel_M_rep6_TR5,80020
,
Total:,2811316
Total Unique:,255723
