sampleID,numUJC,numRead
mel_F_rep1_TR1,23922,272505
mel_F_rep1_TR2,106403,4135042
mel_F_rep1_TR3,102519,3492421
mel_F_rep1_TR4,48644,1166463
mel_F_rep2_TR1,22453,243489
mel_F_rep2_TR2,117414,4594044
mel_F_rep2_TR3,100595,3259068
mel_F_rep2_TR4,63456,1800268
mel_F_rep3_TR1,18101,177092
mel_F_rep3_TR2,93350,3400181
mel_F_rep3_TR3,119196,4526776
mel_F_rep3_TR4,67395,2161121
mel_F_rep4_TR1,39078,362676
mel_F_rep4_TR2,216128,6015884
mel_F_rep4_TR3,227418,7035925
mel_F_rep4_TR4,198195,5786904
mel_F_rep4_TR5,184562,4829945
mel_F_rep5_TR1,33097,266166
mel_F_rep5_TR2,238186,6932089
mel_F_rep5_TR3,261384,8606857
mel_F_rep5_TR4,201399,5900324
mel_F_rep5_TR5,171310,4239383
mel_F_rep6_TR1,29708,241141
mel_F_rep6_TR2,169119,4553621
mel_F_rep6_TR3,175271,5159811
mel_F_rep6_TR4,151747,4214863
mel_F_rep6_TR5,140019,3413397
mel_M_rep1_TR1,18234,179004
mel_M_rep1_TR2,59917,1872005
mel_M_rep1_TR3,66542,2025755
mel_M_rep1_TR4,52286,1483200
mel_M_rep2_TR1,22927,201846
mel_M_rep2_TR2,141037,5052831
mel_M_rep2_TR3,162668,5554839
mel_M_rep2_TR4,91957,2812377
mel_M_rep3_TR1,17341,189465
mel_M_rep3_TR2,51780,1611675
mel_M_rep3_TR3,62958,2057372
mel_M_rep3_TR4,45639,1369972
mel_M_rep4_TR1,37467,300104
mel_M_rep4_TR2,193330,4632869
mel_M_rep4_TR3,235425,6726993
mel_M_rep4_TR4,199398,5316667
mel_M_rep4_TR5,177189,4007836
mel_M_rep5_TR1,38504,269618
mel_M_rep5_TR2,139665,2339138
mel_M_rep5_TR3,176019,3600788
mel_M_rep5_TR4,151881,2899096
mel_M_rep5_TR5,115680,1750423
mel_M_rep6_TR1,36426,274163
mel_M_rep6_TR2,238944,6195617
mel_M_rep6_TR3,243779,6939685
mel_M_rep6_TR4,222255,6113034
mel_M_rep6_TR5,208463,5049292
,,
Total:,6527780,177613120
Total Unique:,2286928,177613120
